J_YEARGRADES_NO,J_Y_1ST,J_Y_2ST,J_Y_3ST,J_Y_4ST,J_Y_5ST,J_Y_OUTSIDE
1,87,67,35,39,36,108
2,71,26,31,29,18,75
3,56,46,47,45,36,123
4,56,41,29,22,24,165
5,45,53,38,36,29,205
6,40,34,36,51,33,219
7,38,21,24,22,16,142
8,37,37,30,36,16,221
9,35,42,46,32,33,208
10,35,23,22,27,27,208
11,34,43,23,26,31,206
12,32,31,36,16,21,130
13,32,24,20,29,15,150
14,31,30,29,36,41,230
15,31,20,26,20,22,243
16,30,27,31,15,23,90
17,30,26,22,22,15,108
18,29,21,24,21,22,193
19,29,20,32,40,22,201
20,28,20,18,12,23,86
21,27,48,35,33,32,181
22,27,41,39,36,27,233
23,27,23,22,18,29,140
24,24,26,24,14,14,119
25,24,20,22,22,19,178
26,22,22,23,19,13,110
27,22,18,20,23,21,167
28,19,19,27,20,22,208
29,18,27,21,21,18,175
30,18,17,24,21,32,215
31,17,27,22,20,16,135
32,17,11,15,22,23,210
33,16,29,22,17,25,214
34,16,17,18,11,16,201
35,16,9,17,20,22,205
36,15,20,22,27,27,243
37,15,16,16,14,21,99
38,15,13,20,16,17,131
39,14,23,21,15,26,203
40,14,8,14,10,8,190
41,13,16,15,11,12,72
42,13,13,17,17,14,166
43,12,7,8,15,13,105
44,12,5,11,11,11,140
45,12,4,10,17,12,124
46,11,13,10,16,17,193
47,11,8,16,15,25,170
48,10,14,17,21,18,124
49,10,12,17,15,19,154
50,10,12,14,16,23,170
51,10,12,8,8,4,158
52,9,13,16,16,18,153
53,9,12,11,14,14,144
54,9,12,8,10,11,112
55,8,16,8,14,10,128
56,8,9,12,8,18,222
57,8,9,4,1,5,19
58,8,7,14,11,11,175
59,8,6,13,8,10,68
60,7,9,7,13,8,135
61,7,8,10,11,14,141
62,7,6,10,2,8,115
63,7,5,3,7,1,78
64,6,21,15,19,14,169
65,6,11,3,6,7,124
66,6,6,5,7,9,68
67,6,6,0,6,6,41
68,6,3,3,9,5,88
69,6,3,3,5,4,53
70,6,2,8,3,1,10
71,6,2,2,3,1,13
72,5,10,14,17,19,127
73,5,10,11,9,19,132
74,5,8,15,5,23,142
75,5,8,6,6,9,108
76,5,7,9,14,12,147
77,5,6,5,12,12,100
78,5,5,7,6,10,90
79,5,4,12,8,9,150
80,5,3,3,5,7,15
81,5,3,2,3,2,15
82,5,2,8,5,4,53
83,5,2,6,6,3,62
84,5,2,4,2,5,18
85,4,9,13,8,16,196
86,4,6,6,6,6,127
87,4,6,5,10,14,126
88,4,5,6,7,7,93
89,4,5,6,4,8,72
90,4,5,3,9,6,80
91,4,4,7,4,7,100
92,4,4,2,5,10,77
93,4,3,1,2,2,20
94,4,2,4,3,5,33
95,3,11,6,10,3,139
96,3,4,1,2,2,43
97,3,3,12,8,7,94
98,3,3,5,4,5,21
99,3,2,3,7,3,28
100,2,6,7,7,8,60
101,2,6,2,3,2,29
102,2,4,6,6,2,24
103,2,4,4,1,1,24
104,2,4,3,8,6,50
105,2,4,3,0,2,5
106,2,4,1,1,4,36
107,2,2,3,1,1,72
108,2,2,2,5,0,21
109,2,1,3,2,0,33
110,2,1,0,2,1,15
111,2,1,0,2,1,10
112,1,8,2,3,4,85
113,1,5,5,6,8,90
114,1,3,3,3,2,49
115,1,3,1,5,2,53
116,1,2,6,5,4,15
117,1,2,5,5,6,81
118,1,2,2,6,5,58
119,1,2,2,4,5,49
120,1,2,2,4,2,18
121,1,2,1,5,1,50
122,1,2,1,1,2,12
123,1,2,1,0,1,34
124,1,0,0,0,0,24
125,0,9,7,5,7,133
126,0,4,1,1,4,20
127,0,3,3,7,0,43
128,0,2,3,4,4,25
129,0,1,3,1,3,69
130,0,1,2,1,1,18
131,0,1,1,2,1,30
132,0,1,0,0,0,11
133,0,0,0,2,5,17
134,0,0,0,1,1,30
135,0,0,0,1,1,16
136,0,0,0,1,1,21
137,0,0,0,0,0,0
138,0,0,0,0,0,16
139,0,0,0,0,0,6
140,0,0,0,0,0,4
141,0,0,0,0,0,6
142,0,0,0,0,0,4
143,0,0,0,0,0,1
144,0,0,0,0,0,1
145,0,0,0,0,0,0
146,0,0,0,0,0,1
147,0,0,0,0,0,0
148,0,0,0,0,0,0
149,0,0,0,0,0,0
150,0,0,0,0,0,0
151,0,0,0,0,0,0
152,0,0,0,0,0,0
153,0,0,0,0,0,0
154,0,0,0,0,0,0
155,0,0,0,0,0,0
156,0,0,0,0,0,0
157,0,0,0,0,0,0
158,0,0,0,0,0,0
159,0,0,0,0,0,0
160,0,0,0,0,0,0
161,0,0,0,0,0,0
162,0,0,0,0,0,0
163,0,0,0,0,0,0
164,0,0,0,0,0,0
165,0,0,0,0,0,0
166,0,0,0,0,0,0
167,0,0,0,0,0,0
168,0,0,0,0,0,0
169,0,0,0,0,0,0
170,0,0,0,0,0,0
171,0,0,0,0,0,0
172,0,0,0,0,0,0
173,0,0,0,0,0,0
174,0,0,0,0,0,0
175,0,0,0,0,0,0
176,0,0,0,0,0,0
177,0,0,0,0,0,0
178,0,0,0,0,0,0
179,0,0,0,0,0,0
180,0,0,0,0,0,0
181,0,0,0,0,0,0
182,0,0,0,0,0,0
183,0,0,0,0,0,0
