JOCKEY_NUMBER,JOCKEY_NAME,JOCKEY_HEIGHT,JOCKEY_WEIGHT,J_YEARGRADES_NO,J_PASTGRADES_NO
1,C.ルメール,,,1,
2,川田将雅,,,2,
3,福永祐一,,,3,
4,松山弘平,,,4,
5,吉田隼人,,,5,
6,幸英明,,,6,
7,横山和生,,,7,
8,鮫島克駿,,,8,
9,岩田望来,,,9,
10,西村淳也,,,10,
11,横山武史,,,11,
12,戸崎圭太,,,12,
13,田辺裕信,,,13,
14,和田竜二,,,14,
15,菅原明良,,,15,
16,M.デムーロ,,,16,
17,石橋脩,,,17,
18,泉谷楓真,,,18,
19,大野拓弥,,,19,
20,武豊,,,20,
21,三浦皇成,,,21,
22,団野大成,,,22,
23,岩田康誠,,,23,
24,藤岡佑介,,,24,
25,藤岡康太,,,25,
26,浜中俊,,,26,
27,北村宏司,,,27,
28,松若風馬,,,28,
29,津村明秀,,,29,
30,富田暁,,,30,
31,池添謙一,,,31,
32,内田博幸,,,32,
33,丹内祐次,,,33,
34,亀田温心,,,34,
35,秋山稔樹,,,35,
36,木幡巧也,,,36,
37,北村友一,,,37,
38,坂井瑠星,,,38,
39,斎藤新,,,39,
40,江田照男,,,40,
41,横山典弘,,,41,
42,丸山元気,,,42,
43,柴田善臣,,,43,
44,小沢+B45:B137 大仁,,,44,
45,永野猛蔵,,,45,
46,石川裕紀人,,,46,
47,吉田豊,,,47,
48,角田大和,,,48,
49,菱田裕二,,,49,
50,菊沢一樹,,,50,
51,藤田菜七子,,,51,
52,武藤雅,,,52,
53,勝浦正樹,,,53,
54,中井裕二,,,54,
55,藤井勘一郎,,,55,
56,原優介,,,56,
57,森一馬,,,57,
58,国分優作,,,58,
59,森裕太朗,,,59,
60,小林凌大,,,60,
61,川須栄彦,,,61,
62,荻野極,,,62,
63,田中健,,,63,
64,柴田大知,,,64,
65,武士沢友治,,,65,
66,藤懸貴志,,,66,
67,荻野琢真,,,67,
68,高倉稜,,,68,
69,古川奈穂,,,69,
70,平沢健治,,,70,
71,高田潤,,,71,
72,古川吉洋,,,72,
73,丸田恭介,,,73,
74,国分恭介,,,74,
75,小崎綾也,,,75,
76,小林脩斗,,,76,
77,川又賢治,,,77,
78,田中勝春,,,78,
79,野中悠太郎,,,79,
80,白浜雄造,,,80,
81,西谷誠,,,81,
82,小牧太,,,82,
83,宮崎北斗,,,83,
84,植野貴也,,,84,
85,酒井学,,,85,
86,太宰啓介,,,86,
87,杉原誠人,,,87,
88,永島まなみ,,,88,
89,城戸義政,,,89,
90,鮫島良太,,,90,
91,松本大輝,,,91,
92,嶋田純次,,,92,
93,石神深一,,,93,
94,上野翔,,,94,
95,黛弘人,,,95,
96,岩部純二,,,96,
97,柴山雄一,,,97,
98,中村将之,,,98,
99,蛯名正義,,,99,
100,秋山真一郎,,,100,
101,熊沢重文,,,101,
102,五十嵐雄祐,,,102,
103,小野寺祐太,,,103,
104,川島信二,,,104,
105,小坂忠士,,,105,
106,草野太郎,,,106,
107,横山琉人,,,107,
108,黒岩悠,,,108,
109,伊藤工真,,,109,
110,蓑島靖典,,,110,
111,三津谷隼人,,,111,
112,加藤祥太,,,112,
113,木幡育也,,,113,
114,西谷凜,,,114,
115,和田翼,,,115,
116,難波剛健,,,116,
117,原田和真,,,117,
118,長岡禎仁,,,118,
119,松田大作,,,119,
120,北沢伸也,,,120,
121,木幡初也,,,121,
122,竹之下智昭,,,122,
123,服部寿希,,,123,
124,菅原隆一,,,124,
125,山田敬士,,,125,
126,水口優也,,,126,
127,岡田祥嗣,,,127,
128,大庭和弥,,,128,
129,嘉藤貴行,,,129,
130,金子光希,,,130,
131,伴啓太,,,131,
132,西村太一,,,132,
133,大江原圭,,,133,
134,的場勇人,,,134,
135,柴田未崎,,,135,
136,高野和馬,,,136,
137,松岡正海,,,137,
138,井上敏樹,,,138,
139,引退佐久間寛志,,,139,
140,江田勇亮,,,140,
141,田村太雅,,,141,
142,鈴木慶太,,,142,
143,森泰斗,,,143,
144,御神本訓史,,,144,
145,大塚海渡,,,145,
146,笹川翼,,,146,
147,矢野貴之,,,147,
148,阿部龍,,,148,
149,D.レーン,,,149,
150,山本康志,,,150,
151,畑端省吾,,,151,
152,佐久間寛志,,,152,
153,中谷雄太,,,153,
154,堀宣行,,,154,
155,西田雄一郎,,,155,
156,木村哲也,,,156,
157,真島大輔,,,157,
158,L.ヒューイットソン,,,158,
159,F.ミナリク,,,159,
160,鴨宮祥行,,,160,
161,A.シュタルケ,,,161,
162,繁田健一,,,162,
163,S.フォーリー,,,163,
164,四位洋文,,,164,
165,佐藤友則,,,165,
166,O.マーフィー,,,166,
167,岩崎翼,,,167,
168,R.ムーア,,,168,
169,C.スミヨン,,,169,
170,W.ビュイック,,,170,
171,L.デットーリ,,,171,
172,吉村智洋,,,172,
173,服部茂史,,,173,
174,石川倭,,,174,
175,L.オールプレス,,,175,
176,J.ルパルー,,,176,
177,K.ティータン,,,177,
178,桑村真明,,,178,
179,B.アヴドゥラ,,,179,
180,山田祥雄,,,180,
181,五十嵐冬樹,,,181,
182,瀧川寿希也,,,182,
183,F.ブロンデル,,,183,
