T_YEARGRADES_NO,T_Y_1ST,T_Y_2ST,T_Y_3ST,T_Y_4ST,T_Y_5ST,T_Y_OUTSIDE
1,27,20,23,16,15,126
2,25,22,8,7,13,60
3,23,13,11,20,10,50
4,22,28,15,19,13,79
5,22,13,12,13,13,66
6,21,21,22,15,10,66
7,20,26,16,15,15,118
8,18,14,17,14,12,88
9,18,14,12,10,7,40
10,18,14,12,9,10,69
11,18,13,7,11,12,75
12,18,12,14,12,9,99
13,18,9,10,16,14,63
14,17,19,12,3,10,77
15,17,12,8,11,12,71
16,17,10,15,9,14,93
17,17,9,11,13,11,49
18,16,17,15,13,10,77
19,16,13,24,21,12,64
20,16,11,11,10,9,72
21,15,16,18,13,12,88
22,15,14,8,7,10,95
23,15,13,10,7,8,63
24,15,11,12,7,9,52
25,15,10,6,7,8,70
26,15,9,7,8,7,81
27,14,20,8,11,10,57
28,14,13,7,11,9,76
29,14,12,13,10,14,94
30,14,10,12,11,14,63
31,14,10,9,6,9,70
32,14,8,1,8,11,68
33,14,6,3,11,14,75
34,13,18,11,10,8,102
35,13,16,14,6,15,109
36,13,13,9,5,13,83
37,13,12,4,15,7,78
38,13,11,12,5,9,98
39,13,11,10,8,9,75
40,13,8,15,10,15,46
41,13,7,7,2,9,42
42,12,18,19,15,13,101
43,12,11,10,12,10,80
44,12,11,10,5,10,64
45,12,11,8,12,12,81
46,12,10,9,2,14,70
47,12,9,11,14,7,83
48,12,9,8,4,6,67
49,12,8,8,7,7,71
50,12,3,9,11,3,75
51,11,16,12,14,6,86
52,11,15,11,7,6,70
53,11,14,14,10,7,78
54,11,12,14,7,8,58
55,11,11,14,9,7,78
56,11,10,19,9,6,61
57,11,10,15,10,6,48
58,11,10,14,9,10,79
59,11,10,10,11,8,69
60,11,9,13,12,12,84
61,10,12,8,9,3,76
62,10,9,5,9,6,89
63,10,8,11,11,7,80
64,10,8,8,6,8,78
65,10,7,13,15,9,90
66,10,6,9,11,6,78
67,10,6,8,11,13,84
68,9,13,10,9,6,73
69,9,10,12,6,13,84
70,9,9,18,7,9,91
71,9,9,4,4,4,76
72,9,8,8,14,5,85
73,9,8,7,13,12,96
74,9,7,15,11,8,81
75,9,7,6,5,3,84
76,9,6,6,9,12,69
77,9,5,4,15,7,89
78,9,3,4,8,8,104
79,8,19,5,11,8,81
80,8,15,1,5,3,68
81,8,12,10,17,16,97
82,8,11,5,3,7,63
83,8,10,8,8,6,80
84,8,10,8,7,9,91
85,8,10,7,14,8,81
86,8,9,11,13,15,82
87,8,9,10,10,6,79
88,8,9,9,10,9,83
89,8,8,20,10,9,70
90,8,8,13,7,7,79
91,8,8,11,5,14,77
92,8,8,5,3,11,85
93,8,7,11,8,7,68
94,8,7,7,6,12,78
95,8,7,1,7,6,73
96,8,6,9,9,3,71
97,8,6,8,2,5,81
98,8,5,9,11,8,65
99,7,13,3,9,13,82
100,7,11,8,10,7,76
101,7,10,9,4,8,82
102,7,10,7,12,17,102
103,7,9,10,13,8,58
104,7,9,7,13,4,79
105,7,8,13,9,12,67
106,7,8,8,6,8,69
107,7,6,12,12,10,74
108,7,6,9,13,10,90
109,7,5,18,9,6,58
110,7,5,8,4,5,82
111,7,5,5,8,10,82
112,7,4,3,3,5,30
113,7,3,3,6,10,72
114,7,1,5,11,15,87
115,6,14,13,15,12,83
116,6,12,7,9,7,84
117,6,11,10,8,17,86
118,6,11,6,6,10,86
119,6,9,0,7,11,83
120,6,8,11,4,7,60
121,6,8,8,10,10,63
122,6,8,2,8,7,64
123,6,6,8,11,6,86
124,6,6,7,9,8,76
125,6,5,10,5,7,84
126,6,5,5,5,2,58
127,6,1,4,2,4,87
128,5,11,5,8,14,74
129,5,10,3,9,6,72
130,5,8,8,7,11,106
131,5,6,7,6,8,83
132,5,5,10,9,9,70
133,5,5,9,7,6,50
134,5,4,12,10,4,73
135,5,4,6,5,4,19
136,5,4,1,3,5,75
137,5,2,9,5,7,75
138,5,2,3,1,3,35
139,4,8,7,8,6,82
140,4,7,13,7,12,89
141,4,7,7,5,12,61
142,4,5,11,6,4,87
143,4,5,8,9,7,69
144,4,5,6,10,10,76
145,4,5,5,4,5,30
146,4,5,3,3,3,31
147,4,4,8,11,7,86
148,4,4,4,5,2,73
149,4,3,5,4,9,57
150,4,3,3,5,7,34
151,4,2,5,1,8,86
152,4,1,5,9,6,104
153,3,10,11,11,8,71
154,3,10,3,16,4,51
155,3,7,9,7,7,89
156,3,6,6,6,0,42
157,3,6,6,5,4,84
158,3,6,4,4,3,42
159,3,5,10,13,8,93
160,3,5,9,8,7,72
161,3,5,4,8,16,124
162,3,4,7,10,3,45
163,3,3,8,7,5,88
164,3,3,3,6,6,77
165,3,3,1,2,8,65
166,3,2,6,5,12,71
167,3,2,4,5,12,89
168,3,2,0,5,3,31
169,3,1,3,5,4,32
170,3,1,2,11,3,106
171,3,0,5,2,7,35
172,2,8,6,8,7,77
173,2,7,6,9,8,99
174,2,7,6,7,5,65
175,2,4,5,10,5,75
176,2,4,2,5,8,89
177,2,3,7,5,4,88
178,2,2,4,5,7,81
179,2,1,7,5,6,43
180,2,0,3,4,5,27
181,1,10,6,5,12,62
182,1,7,3,2,9,60
183,1,5,3,5,5,66
184,1,5,3,3,4,18
185,1,4,3,8,9,62
186,1,4,2,6,5,34
187,1,3,5,5,4,66
188,1,3,5,2,4,72
189,1,3,4,2,3,92
190,1,2,10,7,9,68
191,1,1,4,1,4,82
192,1,1,2,4,6,82
193,1,1,0,3,0,31
194,1,0,3,3,2,83
195,0,5,1,3,7,38
196,0,3,2,3,1,58
197,0,0,0,0,0,2
198,0,0,0,0,0,1
199,0,0,0,0,0,0
200,0,0,0,0,0,1
201,0,0,0,0,0,0
202,0,0,0,0,0,1
203,0,0,0,0,0,2
204,0,0,0,0,0,0
205,0,0,0,0,0,1
206,0,0,0,0,0,1
207,0,0,0,0,0,0
208,0,0,0,0,0,0
209,0,0,0,0,0,1
210,0,0,0,0,0,1
211,0,0,0,0,0,1
212,0,0,0,0,0,1
213,0,0,0,0,0,0
214,0,0,0,0,0,0
215,0,0,0,0,0,1
216,0,0,0,0,0,2
